,TITLE,PR DESCRIPTION,PROPOSAL,COMMENTS
17, An Ode to 17 Databases in 39 minutes,"A detailed, deep-diving, in-the-deep-end and occasionally humorous whirlwind introduction and analysis of a suite of modern (and sometimes delightfully archaic) database technologies. ","# An Ode to 17 Databases in 39 minutes

A detailed, deep-diving, in-the-deep-end and occasionally humorous whirlwind introduction and analysis of a suite of modern (and sometimes delightfully archaic) database technologies. How they work, why they work, and when you might want them to work in your Ruby and Rails application. 

At no extra charge I will also attempt to explain the oft-misunderstood CAP theorem, using databases as a device for understanding the trade offs and compromises inherent in building complex distributed systems.

Including but not limited to:

- PostgreSQL
- Redis
- Cassandra
- Hyperdex
- MongoDb
- Riak
- Animated Gifs

The goal of the talk is to shed light on the wide range of options outside of the ""traditional"" PostgreSQL or MySQL. Ruby on Rails has a rather myopic focus on particular patterns of database interaction and technology on which lead developers to overlook other tools that may be really well suited for particular use-cases.

This talk is loosely based on my (award winning) Lightning Talk presented at the 2013 Australian Ruby Conference ""An Ode to 17 databases in 5 minutes"".
A 30 minute version was presented at the September 2013 Rocky Mountain Ruby Conference in Boulder, Colorado to wild acclaim (or at least some mildy positive feedback).",
18,Hitchikers guide to UXing without a UXer,A 'Douglas Adams' style quick-start guide for developers to help them keep the greatness in their product and ideas without having a designer or UXer on staff. ,"# Hitchikers guide to UXing without a UXer

Sometimes you are tasked with building great things by yourself or in a small team. Bootstrapped start-ups don’t always have the budget for a dedicated UXer to help you design the best apps, software or websites. So how do design great things without a UXer? 

This is not a definitive guide or to even to be used instead of getting professional UX help but it will get you started developing the right way and stop you making classic mistakes. Before you even consider touching your dev environment I will show you how to “Start with one idea”, “Think like a user” and set out your user journeys. From this solid foundation I will show you how to wireframe your logic and build a rough protoype. 

We then consider how to evaluate and iterate on your designs and what tools you can use. Finally, I outline the importance of never being afraid to scrap anything which doesn’t work. All without a single line of code being written. 

Save your development time and build greatness into your product.",
19,How To Win Designers And Influence Developers,"This talk is about ways to hack your team for a more efficient, productive and ultimately happier existence. That's the good news. The bad news is hacking your team starts with hacking yourself.","# How To Win Designers And Influence Developers

This talk is about ways to hack your team for a more efficient, productive and ultimately happier existence. That's the good news. The bad news is hacking your team starts with hacking yourself.

In 1936, Dale Carnegie published a book called ""How To Win Friends And Influence People"". You may have heard of it. In 1989, Stephen Covey published ""The 7 Habits Of Highly Effective People"". I was 6 years old.

What can these old books (and others) teach us about working as part of a modern software team today?

A hell of a lot, actually.

We'll look at some of the hacks, I mean techniques, raised in these books and investigate how they apply in the modern software team.",
20,Real Developers Ship,"In which we explore the tenets of a small team inside Envato who changed the way they work in order to deliver better and faster, and how you can too. Among other things, we'll cover continuous deployment, paying the refactor cost upfront, staying lean, and testing in production.","# Real developers ship (a.k.a Tenets for software delivery)

Not too long ago, a small group of developers inside Envato embarked on a mission: take an idea, and turn it into something real. To accomplish this goal, they didn't just have to build the product, but change the way they were writing and shipping code as well. In the end, the way they were delivering was radically different to anything they'd ever done before. The result? Mission accomplished.

This talk explores the core tenets of the team's delivery process, and explores the reasons behind the decisions that were made. It mixes anecdotes with practical examples, showing how changing the way you think can really help get things done.

Some of the tenets in the talk include:

* Level up your CI to continuous deployment
* Time is valued above all
* Staying lean with YAGNI
* Pay the refactor cost upfront
* Testing is best done in production
* Do things that don't scale
* Living on the bleeding edge
* The only way to move is forward

After listening to this talk, you will know how easy it is to introduce these principles into your Rails app. You'll be armed with ideas of what you can take home to your team, in order to deliver better and faster than before.",
21,I've got your number: Machine Learning in Ruby.,"An introduction to ML, including a demo, working code and libraries available to Rubyists ro explore this world.","# I've got your number: Machine Learning in Ruby

Would you like to do some OCR using Ruby and learn some
machine-learning along the way?

In this talk, first up, we'll have a quick demo where an attendee
scribbles a number on a sticky note and a Ruby program tries
to recognize it. Then we'll pick it apart, covering:

+ the basics of machine-learning (and different applications)
+ brief look into the Math behind supervised learning (classification)
+ (mostly) hand-rolled code applying this Math
+ libraries/tools available to Rubyists (and choice of Ruby platforms)
 including:
   + weka
   + mahout
   + libsvm
   + Ruby `Matrix` class :)
   + etc.
+ ways to dive deeper into ML

You'll leave inspired to explore this new world of machine learning,
pick up sought-after skills and have fun!

PS: To add some variety, I'll employ the widely recognised but rarely
heard (at Rubyconf AU) Indian accent.
",
22,Why Ruby/Elixir (culture) can make the difference in Software Development: A Behavioral Economics Reflexion,"### Why Ruby/Elixir (culture) can make the difference in Software Development: A Behavioral Economics Reflexion
**Audience:** Rubysts and Software Developers at General
How Behavioral Economics findings and principles can help us to reflecting in the relevance of Ruby/Elixir (culture) for Software Development.
The presentation will be very interactive. The presenter will ask the participation of the audience to illustrate at real time and at live the BE principles. These principles will be use for reflecting about the relevance of Ruby/Elixir for the Software Development","# Why Ruby/Elixir (culture) can make the difference in Software Development: A Behavioral Economics Reflexion

**Audience:** Rubysts and Software Developers at General

## Description
*Classical Economics* traditionally conceptualizes a world populated by agents calculating, unemotional maximizers bearing the name of Homo economicus. The classical economic ignores or dismisses virtually all human behavior studied by cognitive and social psychologists. The standard economic model of human behavior-realistic three features includes unlimited rationality, willpower and infinite selfishness without limits, all of which **Behavioral Economics (BE)** modifies it in a more *holistic* view based on *evidence* and *experiments*.

Software craftsmanship is an approach to software development that emphasizes the coding skills of the software developers themselves vs the view of practitioners of the well-defined statistical analysis and mathematical rigor of an engineering approach with the connotations of predictability, precision, mitigated risk and professionalism. Dan North wrote: *""No-one wants your steenking (sic) software – they want the capabilities it gives them, and they want those yesterday""*. 

Why Ruby and Elixir programming languages that are designed to make programmers happy have been hypothesized to be more effective in the long run because happy programers are more productive. But this is true? What other factors should be taken in consideration? The BE could offer some light to this based on the findings of the field as:
  * Labor and Motivation: Meaning, IKEA effect, Not-Invented here bias, Cognitive Dissonance, Monetary/Social Stress and Performance.
  * Self-Control: Difficulty with Self-Control, Reward Substitution, Ulysses Contracts
  * Psychology of Money: Cost Opportunity, Relativity, Mental Accounting, Loss Aversion, Endowment Effect, Market and Social Norms
  * Irrationality: Defaults, Preferences, Relativity, Long-lasting Effects of Decisions and Learning from our Mistakes

This principles will be presented in a practical way and how we can take advantage of those to reflect about the relevance of Ruby for the Software Development.

## Presentation Style
The presentation will be very interactive. The presenter will ask the participation of the audience to illustrate at real time and at live the BE principles. These principles will be use for reflecting about the relevance of Ruby/Elixir for the Software Development",
23,The Golden Age of the Internet,"Congratulations. The Internet is now the centre of civilisation as we know it, and _we_ are the ones who shape the Internet. Our skills are in high demand, we are paid well, we find our work challenging, interesting, and even sometimes fulfilling. These are the glory days of our industry, and we should soak up every minute of it!
And let's ignore those storm clouds gathering on the horizon - with our talent, surely we will soar above them like Icarus towards the sun.","# The Golden Age of the Internet

Congratulations. The Internet is now the centre of civilisation as we know it, and _we_ are the ones who shape the Internet. Our skills are in high demand, we are paid well, we find our work challenging, interesting, and even sometimes fulfilling. These are the glory days of our industry, and we should soak up every minute of it!

But with such great power comes a great deal of responsibility. Will we be looking back in the near future, wondering if we squandered our opportunities to shape the digital world accordingly?

There's no doubt that we value humanity, intelligence, and compassion. Let's take a look at the ways our industry can ensure these values are reflected not just in the people we are, but the way we work.",
25,Engineering Words,,"# Engineering Words

Code is communication.

The more forms of expression we master, the better we can become as developers.
Learning to compose effective prose will improving our ability to express ideas
to developers and to construct better software.

You are already great at using Ruby to communicate your ideas to other
developers, and you use html and css to communicate with people using your site.

I hope to help you become a better wielder of the written word in the form of
blog posts.",
26,The Art of Ruby by halogenandtoast.,"The Art of Ruby: A talk about code, art, and the search for balance between beauty and performance.","# The Art of Ruby

We should all be artists in our craft, but there is a balance between expressiveness and performance. This talk is about finding that balance and producing beautiful code that doesn't sacrifice syntax for speed. I'll explore real world examples of code and mold them into something far more expressive. During the process, we'll take a look at how common design patterns are applied to larger applications and examine the repercussions.",
27,State of JRuby 2014,JRuby talk proposal.,"# State of JRuby 2014

JRuby is a fast implementation of the Ruby language on the Java Virtual
Machine.

You may wonder if it can be faster.
You may have heard of the slow startup time. Can it load faster?
You may have heard that your favorite C extension does not work on
JRuby. What about cross-platform C extension API?

This talk will discuss these questions.

This year (2014), the project will release a major milestone:
JRuby [9000](https://www.dropbox.com/s/sl2ujx1syt7kqzh/8000.mov) (仮).
Main new features of this release include:
  * Ruby 2.1 compatibility
  * New compiler
  * Better InvokeDynamic experience

A JRuby core team member will discuss these topics.
",
28,The Dark Side of Ruby,Welcome to the dark side of Ruby and get en**light**ened.,"# The Dark Side of Ruby

I love Ruby! But as in any relationship, to love means that you (often) have to accept the ""dark side"" too! Ruby is human in nature and has a lot of gotchas, tricks, wierdness and sometimes scary features that I plan to highlight. This talk aims to provide the ""Ah-ha!"" moments when working in Ruby.

This talk is for beginners and experts alike - in fact, I tag slides to mark their level and beginners can choose to tune out of the heavy stuff! My talk shall cover the dark side of the following features of Ruby (in no particular order)

* Keyword wierdness
* method missing
* Module inheritance! (huh?)
* Accessor righteousness
* Curried Procs for the hungry
* Base Conversions
* Cherry picking module methods
* Oniguruma games
* Object id wierdness
* procs, blocks and our friend stubby.
* ==, ===, eql? and equal?
* and more...

As with most of my talks, humour plays an important role and I shall aim to get everyone **high** on Ruby with a **deep** dive!",
29,Fighting bugs with development hacks.,,"# Fighting Bugs with Development Hacks

Bugs are an inevitable part of software development. We do our best to write higher quality software, but we never escape releasing bugs into production.

Since we can't fully remove bugs, this talk will cover strategies, hacks and monkey patches in Ruby (and Rails) to prevent bugs from becoming a big disaster. I'll use examples from [Braintree](https://www.braintreepayments.com/), a payments company where mistakes cost real money, such as:

- Ensuring that queries are scoped properly
- Runtime consistency checks on data
- Sanity specs to catch problems at development time",
30,Programming Elixir: The magic of today's tonic,,"# Programming Elixir: The magic of today's tonic

Elixir is a new arrival on the programming language scene but many of the features that have Rubyists talking about it are actually old favourites for functional fans. Pragmatic Programmer Dave Thomas has lauded the open-source language as a means of demonstrating functional programming concepts without being overly academic. Influenced by Ruby and Clojure, the dynamic language takes advantage of the battle-hardened Erlang ecosystem to simplify the creation of concurrent, distributed applications -- all with functional flair. This presentation will examine the spellbinding elements of Elixir and how developers can use them for their own sprinkling of open sorcery. ",
31,Guide to Continuous Deployment with Rails,"Recently it has become common practise for development teams to deploy their code several times a day, as well as encouraging new developers to deploy on their first day at work.
In our talk, we will discuss how we use continuous deployment to push these practises to the extreme. Automatically deploying the master branch on new changes is an awesome way to improve your development process.
","# Continuous Deployment with Rails

Recently it has become common practise for development teams to deploy their
code several times a day, as well as encouraging new developers to deploy on
their first day at work.

In our talk we will discuss how we use continuous deployment to push
these practises to the extreme. Automatically deploying the master branch on
new changes is an awesome way to improve your development process.

Automatically deploying master will fundamentally change how you work. Gone are
the days of the epic pull request. You'll quickly find yourself writing smaller more
manageable chunks of code, that overall have a great impact on the quality of the
software you produce.

By the end of the talk you'll know how to change the GitHub merge pull request
button into a deploy button - and have the confidence to do so.

Some things we'll go over in the talk:

  * How to setup your CI environment for deployments
  * Why having fast tests are important
  * How to use your Staging environment for testing deployments
  * How to use feature flags to hide deployed features from *some* users
  * Zero downtime deploys, even when there are database migrations
  * Your new deploy button, AKA The GitHub merge pull request button
  * What to do when deployment goes wrong",
32,Fast & Effective View Testing,"### Fast & Effective View Testing
Many people use integration tests to check if an element is displayed or not, which is slow and cumbersome. Others use RSpec view specs, which end up creating duplicated code and scenarios.
In this presentation Nigel will reveal a better solution. We will review the core problem and then examine a fast and consistent way of testing whether multiple elements are (or are not) displayed, based on a context.","# Fast & Effective View Testing

Many people use integration tests to check if an element is displayed or not, which is slow and cumbersome. Others use RSpec view specs, which end up creating duplicated code and scenarios. 

In this presentation Nigel will reveal a better solution. We will review the core problem and then examine a fast and consistent way of testing whether multiple elements are (or are not) displayed, based on a context.",
33,Why 25% of your tests are useless and what you can do about it.,Proposal from Mario Gonzalez. Thanks!!,"# Why 25% of your test suite is worthless and what you can do about it.

I present novel research that indicates that test suites for open source projects have an average of 25% redundancy, while those for closed-source projects have 40% or more. Redundant tests give teams the false sense of increased coverage. Further, they actually increase maintainability and running costs, while exposing the project to costly test escapes. Just as there is code that ""does the same thing,"" there are tests that ""test the same thing."" But how do you detect them? How do you find and deal effectively with them? This talk presents a solution: a free tool that quickly finds how redundant your test suite really is.
Audience will learn:
* The state of test suites in open-source projects, as well as in some closed-source projects.
* How redundant tests increase the risk and cost of testing.
* An introduction into several techniques to assess how good a test suite really is.
* An introduction into the tool and how to use it in their projects.
* Terminology and definitions used to communicate effectively about redundant tests across teams.",
34,Objectify Your Forms: Beyond Basic User Input,,"# Objectify Your Forms: Beyond Basic User Input

User input contains a lot of potential complexity. A simple CRUD form can turn into an
unmaintainable mess when we introduce `accepts_nested_attributes_for` to deal with associations, validating first this model then that one, manually adding validation errors, and finally saving the whole thing.

What if we could use good old object oriented design principles to make forms a pleasure to deal with? Form objects give us a much simpler way to build any sort of form we want that is straight forward to build, test, and maintain.

We will build a complicated form using the default Rails helpers, and then we’ll rebuild it with a form object and let the audience decide which method they prefer.",
35,Dev2DevOps - Intro to DevOps for developers,"High level intro to DevOps, its origins, its concepts, and its tools.
Inspiration and guidance for developers wanting to start down the path to being
DevOps literate.","# Dev2DevOps - Intro to DevOps for developers

High level intro to DevOps, its origins, its concepts, and its tools.
Inspiration and guidance for developers wanting to start down the path to being
DevOps literate.",
36,The Transformation Priority Premise for Productive TDD,"Almost all of us, ruby programmers, have understood the importance of the TDD discipline. The practice of TDD, however, isn't as straightforward as we would like. We frequently get stuck, not knowing what to test next, and how or when to generalize the code.
In this talk, I will introduce the Transformation Priority Premise, and show how we can apply a little mathematical rigour to infer our testing paths, thus reducing or completely eliminating impasses.","# The transformation priority premise, for productive TDD

Almost all of us, ruby programmers, have understood the importance of the TDD discipline. The practice of TDD, however, isn't as straightforward as we would like. We frequently get stuck, not knowing what to test next, and how or when to generalize the code.

In this talk, I will introduce the Transformation Priority Premise, and show how we can use a little mathematical rigour to infer our testing paths, thus reducing or completely eliminating impasses.",
37,Managing Bad Code,"Here's my proposal for a talk. Here's the short description:

> Everybody writes bad code. Not everybody knows they write bad code. I'm going to talk with you about how I think we can identify, manage, and prevent bad code from entering your repo. This is a general software engineering talk that will use solutions based in Ruby, aimed at Ruby development teams (Rails and RubyMotion).","# Managing Bad Code

Bad code sinks projects.

Bad code makes maintaining old code bases expensive and demoralising for developers to work on.

Bad code starts accumulating as soon as the first commit is made to the repo.

Here's the short version:

Everybody writes bad code. Not everybody knows they write bad code. I'm going to talk with you about how I think we can identify, manage, and prevent bad code from entering your repo. This is a general software engineering talk that will use solutions based in Ruby, aimed at Ruby development teams (Rails and RubyMotion).

Here's the long version:

- What is bad code? Where does it originate from?
  - How does bad code come to be? Can't we all just be better developers? - A broad look at what bad code is and some of the causes of bad code
  - Identifying bad code - A look at [code smells](http://www.codinghorror.com/blog/2006/05/code-smells.html)
  - What are the costs? - A look at the obvious and not so obvious costs of bad code. A review of the [opportunity costs](http://en.wikipedia.org/wiki/Opportunity_cost) we deal with by accepting bad code.
  - The uniform skill level problem - Not all developers code at the same level of skill. A guide to how we can accomodate that as a team.
  - The uniform code quality output problem - Developers all have bad days. A guide to how we can deal with our bad days.
  - Know thy enemy: Developers - You are your own worst enemy. How to accept that you are not perfect and hopefully embrace a more humble and open-to-learn attitude. Do you need an attitude re-adjustment?

- How do we manage existing bad code?
  - Band aids are best for small cuts - A discussion on why I think band aid solutions should be absolutely avoided when maintaining code. A look at when you may have to use a band aid solution.
  - Refactoring is king - A look at how draconic refactoring should be used on older, less active code bases in order to rapidly and dramatically improve code quality
  - [The boy-scout rule](http://programmer.97things.oreilly.com/wiki/index.php/The_Boy_Scout_Rule) - A look at the boy-scout rule and why I think developers packing it in on older code bases is bullshit.
  - When to sever the limb - Is a complete rewrite ever called for? My experience with rewrites and why I think rewrites are often just a siren singing a song too good to be true.

- How do we prevent bad code, moving forward?
  - Refactoring:
    - I think refactoring needs to become embedded in the development life cycle. I'll explain how and why!
  - Code Reviews:
    - A look at the benefits of code reviews and discussion as to why I think code reviews need to be prioritised in the development life cycle. I'll explain how and why!
    - An overview of the various techniques (async vs sync, shallow vs deep, in person vs stuck to a wall etc)
    - How To: Automatic using [Code Climate](https://codeclimate.com/)
      - What kind of defects can Code Climate find?
      - How can I leverage Code Climate to improve code quality?
      - Is it worth it?
    - How To: Manual using [GitHub's Pull Requests](https://help.github.com/articles/using-pull-requests)
      - Building an informative description for your pull request to assist reviewers
      - Reviewing other developers work - you're probably being an asshole. I will go through some of the most common pit-falls when reviewing other developers's code. I will also be talking about ways to maximise the code review process. Problems you should look out for and refactoring options you probably hadn't considered. Some tips on how you can learn to become an better reviewer (Trust me! There's a colossal amount of variance in skill levels in reviewers - not necessarily correlated with the developer's programming ability, either).
  - Skill Development:
    - This is a pretty cheesy topic. I'll provide a laundry list of textbooks that all developers should read and some other text books specific to Rails and RubyMotion developers. This will include the classics like Code Complete, Peopleware, Pragmatic Programmer etc, which I will be quoting and drawing inspiration from extensively in this talk. I'll also include some textbooks you may not expect to see on a software developer's booklist.
  - Documentation will save your soul 6 months down the track:
    - A discussion on the role of documentation. When to document, when not to document. Examples specific to Rails and RubyMotion projects.
    - While you're here, why not [read my blog post on writing a good readme](http://blog.thefrontiergroup.com.au/2013/05/writing-a-good-readme/)?
  - Using gems (or cocoapods!):
    - A reminder to always look for a gem that is doing what you are trying to achieve. Code you don't write is code you don't have to maintain. There's a good chance the problem you're trying to solve is:
      - Already solved
      - Not as easy to solve as you think

And more, depending on whether this talk gets selected!",
38,AHAB: An HTTP Asset Bundler,"Introduction to the AHAB asset bundling protocol, its use in Rack applications, asset packaging in an HTTP 2.0 world, and using AHAB to try out code against production data.","# AHAB, An HTTP Asset Bundler

A good package management system is integral to building reliable, living
applications. The Ruby world is fortunate to have Rubygems and Bundler.

Each such system tends to get very high adoption within its own language, but
web applications are polyglot. Twitter-Bootstrap isn't written in Ruby, so
the authors don't publish them as gems. Instead, we
see a proliferation of *project*-for-*packaging sytem* wrappers:
[bootstrap-sass-rails](https://rubygems.org/gems/bootstrap-sass-rails),
npm's [bootstrap-sass](https://npmjs.org/package/bootstrap-sass),
[Bootstrap-Maven](https://github.com/efsavage/Bootstrap-Maven),
[components/bootsrap](https://github.com/components/bootstrap),
[bower-bootstrap-less](https://github.com/jozefizso/bower-bootstrap-less).

The AHAB philosophy is to move browser asset management to the one place all
web projects already agree on: the HTTP layer. This talk covers the AHAB
protocol and its usage in Rack applications, including both deploy-time- and
runtime asset resolution.",
39,Charming Large Databases with Octopuses,"You have a killer web application, hits are through the roof and your database is starting to get overloaded. Do I need to throw more hardware at the database? Should I shard it? Should I use replication? How do I access multiple databases via one Rails application? Join us as we talk about strategies for scaling your database. See how easy it is to use multiple databases with db-charmer and octopus when it is time to move beyond that one ubiquitous database instance in your app.","# Charming Large Databases With Octopuses

You have a killer web application, hits are through the roof and your database is starting to get overloaded. Do I need to throw more hardware at the database? Should I shard it? Should I use replication? How do I access multiple databases via one Rails application? Join us as we talk about strategies for scaling your database. See how easy it is to use multiple databases with db-charmer and octopus when it is time to move beyond that one ubiquitous database instance in your app.",
40,Finding things with Amazon Cloud Search and (Active)-Asari,"Amazon Cloud Search provides a powerful mechanism for adding search to your application…. It automatically sales things for you and indexes your data as you add thing. Integrating it with your Ruby application can be a challenge, especially in multiple environments. It has crazy domain names, and requires a lot of glue code to automate spinning up environments, and search operations. Thankfully we have Asari and Active-Asari to make that easier. Join us as we talk about search, tools you can use and how Asari and Active-Asari can make it more approachable when you need to move beyond database and solr based search in your application.","# Finding things with Amazon Cloud Search and (Active)-Asari

Amazon Cloud Search provides a powerful mechanism for adding search to your application…. It automatically scales things for you and indexes your data as you add things. Integrating it with your Ruby application can be a challenge, especially in multiple environments. It has crazy domain names, and requires a lot of glue code to automate spinning up environments, and search operations. Thankfully we have Asari and Active-Asari to make that easier. Join us as we talk about search, tools you can use and how Asari and Active-Asari can make it more approachable when you need to move beyond database and solr based search in your application.",
