,TITLE,PR DESCRIPTION,PROPOSAL,COMMENTS
30,Programming Elixir: The magic of today's tonic,,"# Programming Elixir: The magic of today's tonic

Elixir is a new arrival on the programming language scene but many of the features that have Rubyists talking about it are actually old favourites for functional fans. Pragmatic Programmer Dave Thomas has lauded the open-source language as a means of demonstrating functional programming concepts without being overly academic. Influenced by Ruby and Clojure, the dynamic language takes advantage of the battle-hardened Erlang ecosystem to simplify the creation of concurrent, distributed applications -- all with functional flair. This presentation will examine the spellbinding elements of Elixir and how developers can use them for their own sprinkling of open sorcery. 

## Katie Miller 

Katie Miller is an OpenShift Developer Advocate at [Red Hat](http://www.redhat.com). The functional programming enthusiast co-founded the [Lambda Ladies](http://www.lambdaladies.com) community for women in FP and serves as a Co-Organiser of the [Brisbane Functional Programming Group](http://bfpg.org). Katie, a former journalist, still writes shorthand notes faster than she can type.

![Profile picture](https://raw.github.com/codemiller/rubyconfau-2014-cfp/master/talk-Katie_Miller-Programming_Elixir/katie_miller.jpg)

- [My website](http://codemiller.com)
- [My twitter](https://twitter.com/codemiller)
- [Past talk slides](http://lanyrd.com/profile/codemiller/slides/)
- [Past talk video](http://lanyrd.com/profile/codemiller/video/)",
31,Keith and Mario's Guide to Continuous Deployment with Rails,"Recently it has become common practise for development teams to deploy their code several times a day, as well as encouraging new developers to deploy on their first day at work.
In our talk Mario and I will discuss how we use continous deployment to push these practises to the extreme. Automatically deploying the master branch on new changes is an awesome way to improve your development process.
","# Keith and Mario's Guide to Continuous Deployment with Rails

Recently it has become common practise for development teams to deploy their
code several times a day, as well as encouraging new developers to deploy on
their first day at work.

In our talk Mario and I will discuss how we use continous deployment to push
these practises to the extreme. Automatically deploying the master branch on
new changes is an awesome way to improve your development process.

Automatically deploying master will fundamentally change how you work. Gone are
the days of the epic pull request. You'll quickly find yourself writing smaller more
managable chunks of code, that overall have a great impact on the quality of the
software you produce.

By the end of the talk you'll know how to change the GitHub merge pull request
button into a deploy button - and have the confidence to do so.

Some things we'll go over in the talk:

  * How to setup your CI environment for deployments
  * Why having fast tests are important
  * How to use your Staging environment for testing deployments
  * How to use feature flags to hide deployed features from *some* users
  * Zero downtime deploys, even when there are database migrations
  * Your new deploy button, AKA The GitHub merge pull request button
  * What to do when deployment goes wrong

## A bit about us

Mario and I together performed a talk at the 2013 Ruby Australia Conference entitled ""Keith and Mario's Guide to Fast Websites"" ([slides](https://speakerdeck.com/keithpitt/keith-and-marios-guide-to-fast-websites), [video](http://vimeo.com/61342267)). The talk was a lot of fun and we had a great response from the audience. We would love to come back again next year to perform another talk.

### Mario Visic

Mario is a Ruby on Rails developer from Perth Australia, he currently works on the [Microlancer](http://www.microlancer.com/) team at Envato in Melbourne. As well as being a Co-Founder of [Desktoppr](https://www.desktoppr.co) he has also worked on some cool projects such as [iMeducate](https://www.imeducate.com) and [Airtasker](https://www.airtasker.com)

In his spare time he enjoys eating different types of cheeses.

![Profile picture](https://raw.github.com/keithpitt/rubyconfau-2014-cfp/master/keith-and-marios-guide-to-continuous-deployment/mario_profile_picture.jpg)

- [Website](http://www.mariovisic.com)
- [Twitter](https://twitter.com/mariovisic)
- [GitHub](https://github.com/mariovisic)
- [Past talk slides - Declarative Cucumber at Sydney roro](http://mariovisic.github.com/declarative_cucumber/)

### Keith Pitt

Keith is a Ruby Developer from Adelaide living in Melbourne. By day he works at [Pin Payments](http://www.pin.net.au) and by night he works on [Buildbox](https://buildbox.io).

In Keith's spare time, he watches many scary movies, and wins Magic Competitons.

He has been involoved with Rails Camp Australia, as well as being on the organisation comittee for the Adelaide Rails Camp 2011.

![Profile picture](https://raw.github.com/keithpitt/rubyconfau-2014-cfp/master/keith-and-marios-guide-to-continuous-deployment/keith_profile_picture.png)

- [Website](http://keithpitt.com/)
- [Twitter](https://twitter.com/keithpitt)
- [GitHub](https://github.com/keithpitt)
- [Past Talk Slides - UI Testin with Frank](http://slidesha.re/SuMD4p)
- [Past Talk Video - VendorKit at Cocoaheads Melbourne](http://www.melbournecocoaheads.com/vendorkit-keith-pitt/)",
32,Fast & Effective View Testing,"### Fast & Effective View Testing

Many people use integration tests to check if an element is displayed or not, which is slow and cumbersome. Others use RSpec view specs, which end up creating duplicated code and scenarios.

In this presentation Nigel will reveal a better solution. We will review the core problem and then examine a fast and consistent way of testing whether multiple elements are (or are not) displayed, based on a context.","# Fast & Effective View Testing

Many people use integration tests to check if an element is displayed or not, which is slow and cumbersome. Others use RSpec view specs, which end up creating duplicated code and scenarios. 

In this presentation Nigel will reveal a better solution. We will review the core problem and then examine a fast and consistent way of testing whether multiple elements are (or are not) displayed, based on a context.

## Nigel Rausch

Nigel, who has been a part of the Ruby Australia Committee, is heavily involved in the Australian Tech community. He organises the Local Brisbane’s Ruby, Javascript and WorkAtJelly meetups as well he as organised CampJS and RailsCamps. 

![Profile picture](profile_picture.jpg)

- [My website](http://github.com/nigelr)
- [My twitter](https://twitter.com/nr99)",
33,Talk: Why 25% of your tests are useless and what you can do about it.,Proposal from Mario Gonzalez. Thanks!!,"# Why 25% of your test suite is worthless and what you can do about it.

I present novel research that indicates that test suites for open source projects have an average of 25% redundancy, while those for closed-source projects have 40% or more. Redundant tests give teams the false sense of increased coverage. Further, they actually increase maintainability and running costs, while exposing the project to costly test escapes. Just as there is code that ""does the same thing,"" there are tests that ""test the same thing."" But how do you detect them? How do you find and deal effectively with them? This talk presents a solution: a free tool that quickly finds how redundant your test suite really is.
Audience will learn:
* The state of test suites in open-source projects, as well as in some closed-source projects.
* How redundant tests increase the risk and cost of testing.
* An introduction into several techniques to assess how good a test suite really is.
* An introduction into the tool and how to use it in their projects.
* Terminology and definitions used to communicate effectively about redundant tests across teams.

## Mario Gonzalez Macedo

I started working on the unified theory of testing since college. At IBM, I got a chance to expand it and apply it, especially when working with customers for root-cause analysis in our enterprise storage products, as well as in development. Reachability graphs was one result of my work.

After IBM, I formed my own company called Ortask, where I now focus my attention developing tools that make testers more efficient, as well as researching/evangelizing testing techniques that have shown to yield high-quality results. Not surprisingly, I use both the theory and the tools quite often in my own testing.

I'm also currently writing a book that explains the unified theory of testing and all its useful details. the book will hopefully be available some time in 2014.


![Profile picture](./profile_picture.jpg ""Mario Gonzalez Macedo"")

- [website](http://ortask.com)
- [twitter](https://twitter.com/maramono)
- [blog](http://ortask.com/blog)
- [screencasts](http://www.youtube.com/user/TheOrtaskTeam)",
34,Objectify Your Forms: Beyond Basic User Input,,"# Objectify Your Forms: Beyond Basic User Input

User input contains a lot of potential complexity. A simple CRUD form can turn into an
unmaintainable mess when we introduce `accepts_nested_attributes_for` to deal with associations,
validating first this model then that one, manually adding validation errors, and finally saving
the whole thing.

What if we could use good old object oriented design principles to make forms a pleasure to deal
with? Form objects give us a much simpler way to build any sort of form we want that is straight
forward to build, test, and maintain.

We will build a complicated form using the default Rails helpers, and then we’ll rebuild it with a
form object and let the audience decide which method they prefer.

## Danny Olson

Danny lives in San Francisco where he is a developer at Sharethrough. He fosters dogs, cooks, and complains about the weather.

![Profile picture](http://gravatar.com/avatar/0a2b39fe22075db9bd81367dc9cb1159.jpg?s=200)

- [My website](http://blog-dannyolson.herokuapp.com/)",
35,Dev2DevOps - Intro to DevOps for developers,"High level intro to DevOps, its origins, its concepts, and its tools.
Inspiration and guidance for developers wanting to start down the path to being
DevOps literate.","# Dev2DevOps - Intro to DevOps for developers

High level intro to DevOps, its origins, its concepts, and its tools.
Inspiration and guidance for developers wanting to start down the path to being
DevOps literate.

## Dinshaw Gobhai
Currently a software engieneer at Constant Contact, I have been doing web application development for 10 years.

![Profile picture](https://1.gravatar.com/avatar/4703c5e61bfa39083ee50fa5547d868f?d=https%3A%2F%2Fidenticons.github.com%2F0f3ea482c9513bf4548f302a46d9932d.png&r=x&s=440)

- [Past talk slides](http://dinshaw.github.io/)
- [Past talk video - ff to 2:40 to skip promotional intro video](http://www.livestream.com/e4egroundfloor1/video?clipId=pla_24b1e694-0e4c-4308-a92f-f974b1256ce3&utm_source=lslibrary&utm_medium=ui-thumb)",
36,The Transformation Priority Premise for Productive TDD,"Almost all of us, ruby programmers, have understood the importance of the TDD discipline. The practice of TDD, however, isn't as straightforward as we would like. We frequently get stuck, not knowing what to test next, and how or when to generalize the code.

In this talk, I will introduce the Transformation Priority Premise, and show how we can apply a little mathematical rigour to infer our testing paths, thus reducing or completely eliminating impasses.","# The transformation priority premise, for productive TDD

Almost all of us, ruby programmers, have understood the importance of the TDD discipline. The practice of TDD, however, isn't as straightforward as we would like. We frequently get stuck, not knowing what to test next, and how or when to generalize the code.

In this talk, I will introduce the Transformation Priority Premise, and show how we can use a little mathematical rigour to infer our testing paths, thus reducing or completely eliminating impasses.

## Andre Bernardes

I've been playing with ruby and rails since '08, and doing it for a living for 2 years. I've always been a little obsessed with TDD and coding disciplines in general.

![Profile picture](https://raw.github.com/rubyaustralia/rubyconfau-2014-cfp/master/talk-andre-bernardes-the-transformation-priority-premise-for-productive-tdd/profile_picture.jpg)

- [My website](http://abernardes.github.io)
- [My twitter](https://twitter.com/abernardes)
- [Past talk slides](https://speakerdeck.com/abernardes) - all in portuguese, sorry :(",
37,Managing Bad Code,"Here's my proposal for a talk. Here's the short description:

> Everybody writes bad code. Not everybody knows they write bad code. I'm going to talk with you about how I think we can identify, manage, and prevent bad code from entering your repo. This is a general software engineering talk that will use solutions based in Ruby, aimed at Ruby development teams (Rails and RubyMotion).","# Managing Bad Code

Bad code sinks projects.

Bad code makes maintaining old code bases expensive and demoralising for developers to work on.

Bad code starts accumulating as soon as the first commit is made to the repo.

Here's the short version:

Everybody writes bad code. Not everybody knows they write bad code. I'm going to talk with you about how I think we can identify, manage, and prevent bad code from entering your repo. This is a general software engineering talk that will use solutions based in Ruby, aimed at Ruby development teams (Rails and RubyMotion).

Here's the long version:

- What is bad code? Where does it originate from?
  - How does bad code come to be? Can't we all just be better developers? - A broad look at what bad code is and some of the causes of bad code
  - Identifying bad code - A look at [code smells](http://www.codinghorror.com/blog/2006/05/code-smells.html)
  - What are the costs? - A look at the obvious and not so obvious costs of bad code. A review of the [opportunity costs](http://en.wikipedia.org/wiki/Opportunity_cost) we deal with by accepting bad code.
  - The uniform skill level problem - Not all developers code at the same level of skill. A guide to how we can accomodate that as a team.
  - The uniform code quality output problem - Developers all have bad days. A guide to how we can deal with our bad days.
  - Know thy enemy: Developers - You are your own worst enemy. How to accept that you are not perfect and hopefully embrace a more humble and open-to-learn attitude. Do you need an attitude re-adjustment?

- How do we manage existing bad code?
  - Band aids are best for small cuts - A discussion on why I think band aid solutions should be absolutely avoided when maintaining code. A look at when you may have to use a band aid solution.
  - Refactoring is king - A look at how draconic refactoring should be used on older, less active code bases in order to rapidly and dramatically improve code quality
  - [The boy-scout rule](http://programmer.97things.oreilly.com/wiki/index.php/The_Boy_Scout_Rule) - A look at the boy-scout rule and why I think developers packing it in on older code bases is bullshit.
  - When to sever the limb - Is a complete rewrite ever called for? My experience with rewrites and why I think rewrites are often just a siren singing a song too good to be true.

- How do we prevent bad code, moving forward?
  - Refactoring:
    - I think refactoring needs to become embedded in the development life cycle. I'll explain how and why!
  - Code Reviews:
    - A look at the benefits of code reviews and discussion as to why I think code reviews need to be prioritised in the development life cycle. I'll explain how and why!
    - An overview of the various techniques (async vs sync, shallow vs deep, in person vs stuck to a wall etc)
    - How To: Automatic using [Code Climate](https://codeclimate.com/)
      - What kind of defects can Code Climate find?
      - How can I leverage Code Climate to improve code quality?
      - Is it worth it?
    - How To: Manual using [GitHub's Pull Requests](https://help.github.com/articles/using-pull-requests)
      - Building an informative description for your pull request to assist reviewers
      - Reviewing other developers work - you're probably being an asshole. I will go through some of the most common pit-falls when reviewing other developers's code. I will also be talking about ways to maximise the code review process. Problems you should look out for and refactoring options you probably hadn't considered. Some tips on how you can learn to become an better reviewer (Trust me! There's a colossal amount of variance in skill levels in reviewers - not necessarily correlated with the developer's programming ability, either).
  - Skill Development:
    - This is a pretty cheesy topic. I'll provide a laundry list of textbooks that all developers should read and some other text books specific to Rails and RubyMotion developers. This will include the classics like Code Complete, Peopleware, Pragmatic Programmer etc, which I will be quoting and drawing inspiration from extensively in this talk. I'll also include some textbooks you may not expect to see on a software developer's booklist.
  - Documentation will save your soul 6 months down the track:
    - A discussion on the role of documentation. When to document, when not to document. Examples specific to Rails and RubyMotion projects.
    - While you're here, why not [read my blog post on writing a good readme](http://blog.thefrontiergroup.com.au/2013/05/writing-a-good-readme/)?
  - Using gems (or cocoapods!):
    - A reminder to always look for a gem that is doing what you are trying to achieve. Code you don't write is code you don't have to maintain. There's a good chance the problem you're trying to solve is:
      - Already solved
      - Not as easy to solve as you think

And more, depending on whether this talk gets selected!

## Jordan Maguire

My name is Jordan Maguire.

I'm a developer from Perth, Western Australia. I have worked on Rails projects for the last four years and RubyMotion projects for the last year. I've delivered some high quality work, and some not-so-high quality work.

I've learned from my mistakes and the mistakes of my team as well. As a result, improving the quality of my code is my top priority.

![Profile picture](./profile_picture.jpg)

- [My website](http://www.thefrontiergroup.com.au/)",
38,AHAB: An HTTP Asset Bundler,"Introduction to the AHAB asset bundling protocol, its use in Rack applications, asset packaging in an HTTP 2.0 world, and using AHAB to try out code against production data.","# AHAB, An HTTP Asset Bundler

A good package management system is integral to building reliable, living
applications. The Ruby world is fortunate to have Rubygems and Bundler.

Each such system tends to get very high adoption within its own language, but
web applications are polyglot. Twitter-Bootstrap isn't written in Ruby, so
the authors don't publish them as gems. Instead, we
see a proliferation of *project*-for-*packaging sytem* wrappers:
[bootstrap-sass-rails](https://rubygems.org/gems/bootstrap-sass-rails),
npm's [bootstrap-sass](https://npmjs.org/package/bootstrap-sass),
[Bootstrap-Maven](https://github.com/efsavage/Bootstrap-Maven),
[components/bootsrap](https://github.com/components/bootstrap),
[bower-bootstrap-less](https://github.com/jozefizso/bower-bootstrap-less).

The AHAB philosophy is to move browser asset management to the one place all
web projects already agree on: the HTTP layer. This talk covers the AHAB
protocol and its usage in Rack applications, including both deploy-time- and
runtime asset resolution.

## James A. Rosen

James A. Rosen is a Senior User Happiness Engineer at Zendesk, where he writes
Ruby and JavaScript, with a focus on front-end quality and performance
engineering. He holds a degree in Information Security from Carnegie Mellon,
as well as degrees in Music and Italian Culinary Arts. He prefers his spaghetti all'arrabbiata and his code non-spaghetti-like.

![Profile picture](https://raw.github.com/jamesarosen/rubyconfau-2014-cfp/jamesarosen/ahab/talk-jamesarosen-ahab/profile_picture.png)

- [My twitter](https://twitter.com/jamesarosen)
- [Past talk slides](http://github.com/jamesarosen/presentations)
- [Past talk video](http://lanyrd.com/2013/melbjs-june/scgfrd/#link-rwkk)",
39,Charming Large Databases with Octopuses,"You have a killer web application, hits are through the roof and your database is starting to get overloaded. Do I need to throw more hardware at the database? Should I shard it? Should I use replication? How do I access multiple databases via one Rails application? Join us as we talk about strategies for scaling your database. See how easy it is to use multiple databases with db-charmer and octopus when it is time to move beyond that one ubiquitous database instance in your app.","# Charming Large Databases With Octopuses

You have a killer web application, hits are through the roof and your database is starting to get overloaded. Do I need to throw more hardware at the database? Should I shard it? Should I use replication? How do I access multiple databases via one Rails application? Join us as we talk about strategies for scaling your database. See how easy it is to use multiple databases with db-charmer and octopus when it is time to move beyond that one ubiquitous database instance in your app.

## Lance Gleason

Lance has been a computer nut ever since his dad bought him a VIC 20 in the 1980s. After nearly a decade as a Java developer for companies like Kodak, CNN, and GE, he decided to end his addiction to heavy inheritance, static typing, and coding without tests. These days, he practices clean Ruby living with lots of well-tested code, class composition, and fun dynamic languages as a developer/startup CTO for hire with extensive experience in data science and committer on open source projects such as the Passbook-iOS, Asari and Active Asari Gems. He is known to practice interspecies pair (purr) programming with his orange tabby, Allie, and when he's not writing code, you will find him diving with sharks, trekking through Chernobyl, sampling wine, cheering on the Springboks or perfecting his biltong recipe.

![Profile picture](https://raw.github.com/lgleasain/rubyconfau-2014-cfp/db_charmer/talk-charming_large_databases_with_octopuses/profile_picture.jpg)

- [My website](http://www.polyglotprogramminginc.com)
- [My twitter](https://twitter.com/lgleasain)
- [Past talk slides](http://www.polyglotprogramminginc.com/presentationstalks/)
- [Past talk video](http://www.polyglotprogramminginc.com/presentationstalks/)",
40,Finding things with Amazon Cloud Search and (Active)-Asari,"Amazon Cloud Search provides a powerful mechanism for adding search to your application…. It automatically sales things for you and indexes your data as you add thing. Integrating it with your Ruby application can be a challenge, especially in multiple environments. It has crazy domain names, and requires a lot of glue code to automate spinning up environments, and search operations. Thankfully we have Asari and Active-Asari to make that easier. Join us as we talk about search, tools you can use and how Asari and Active-Asari can make it more approachable when you need to move beyond database and solr based search in your application.","# Finding things with Amazon Cloud Search and (Active)-Asari

Amazon Cloud Search provides a powerful mechanism for adding search to your application…. It automatically scales things for you and indexes your data as you add things. Integrating it with your Ruby application can be a challenge, especially in multiple environments. It has crazy domain names, and requires a lot of glue code to automate spinning up environments, and search operations. Thankfully we have Asari and Active-Asari to make that easier. Join us as we talk about search, tools you can use and how Asari and Active-Asari can make it more approachable when you need to move beyond database and solr based search in your application.

## Lance Gleason

Lance has been a computer nut ever since his dad bought him a VIC 20 in the 1980s. After nearly a decade as a Java developer for companies like Kodak, CNN, and GE, he decided to end his addiction to heavy inheritance, static typing, and coding without tests. These days, he practices clean Ruby living with lots of well-tested code, class composition, and fun dynamic languages as a developer/startup CTO for hire with extensive experience in data science and committer on open source projects such as the Passbook-iOS, Asari and Active Asari Gems. He is known to practice interspecies pair (purr) programming with his orange tabby, Allie, and when he's not writing code, you will find him diving with sharks, trekking through Chernobyl, sampling wine, cheering on the Springboks or perfecting his biltong recipe.

![Profile picture](https://raw.github.com/lgleasain/rubyconfau-2014-cfp/asari/talk-finding_things_with_amazon_cloud_search_and_active_asari/profile_picture.jpg)

- [My website](http://www.polyglotprogramminginc.com)
- [My twitter](https://twitter.com/lgleasain)
- [Past talk slides](http://www.polyglotprogramminginc.com/presentationstalks/)
- [Past talk video](http://www.polyglotprogramminginc.com/presentationstalks/)",
41,Building C extensions in Ruby,"From time to time, when building Ruby apps, you realise there are no libraries available for what you need. Even worse, Ruby doesn't quite perform as quickly as we would expect in certain areas. There are, however, a lot of high performance, mature technologies built in C that can easily be ported to be used with Ruby. By doing this, we get to keep using our favourite language, opening it to a plethora of applications that were not possible before, and still keep things snappy.
In this talk, I will walk you through the ins and outs of building Spyglass, an OpenCV binding for Ruby. I will also talk in detail about some gotchas (memory management, lack of threading), good practices (C objects as first class citizens, how to properly test extensions), why `mkmf` needs to be retired and some great examples of extensions you probably already use and should be looking at.","# Building C extensions in Ruby

From time to time, when building Ruby apps, you realise there are no libraries available for what you need. Even worse, Ruby doesn't quite perform as quickly as we would expect in certain areas. There are, however, a lot of high performance, mature technologies built in C that can easily be ported to be used with Ruby. By doing this, we get to keep using our favourite language, opening it to a plethora of applications that were not possible before, and still keep things snappy.

In this talk, I will walk you through the ins and outs of building Spyglass, an OpenCV binding for Ruby. I will also talk in detail about some gotchas (memory management, lack of threading), good practices (C objects as first class citizens, how to properly test extensions), why `mkmf` needs to be retired and some great examples of extensions you probably already use and should be looking at.

## André Medeiros

André is a Ruby Ninja and self-confessed open-source evangelist at Quintel, Amsterdam. There he develops powerful applications for the renewable energy space. Previously Andre headed up the Mobile Division for the leading global internet casino company - BetVictor.com where his talent was recognised from developing the company mobile offering from internal business pitch to successful delivery. The app is now one of the most profitable revenues streams in the company's possession. He was born in the Azores, a tropical set of islands in the middle of the Atlantic that apparently breeds Ruby talent. 

Following his personal motto of ""Let's make it cool"", Andre loves providing innovation and style within disruptive tech industries.

André is involved in a number of awesome projects, one of which is Spyglass, an amazing versatile computer vision enabler that allows anybody with a webcam and Ruby skills to create his/her own game rapidly using image recognition.

![Profile picture](https://raw.github.com/andremedeiros/rubyconfau-2014-cfp/master/talk-ruby_c_extensions/profile_picture.jpg)

- [My GitHub](https://github.com/andremedeiros)
- [My twitter](https://twitter.com/superdealloc)
- [Past talk slides (DCI)](https://speakerdeck.com/andremedeiros/stop-use-case-time)",
42,Analytics for the busy ruby developer,"Our applications have the potential to produce a lot of data. Every time a user clicks a button, buys something, or our application does any number of things we have the opportunity to gain useful insights. But where do you begin? Should I gather every data point I can think of? What tools work the best? There is a lot of talk and hype about analytics. In this session, let's take a look at what goes into mining data and analyzing the insights. We'll discuss different approaches to gathering, storing, and querying data, how to determine the KPIs to focus on, and how to interpret and use information in meaningful ways. While you may not be a statistician, see how some basic statistics can help you to start to wrangle your data.","# Analytics For The Busy Ruby Developer

Our applications have the potential to produce a lot of data. Every time a user clicks a button, buys something, or our application does any number of things we have the opportunity to gain useful insights. But where do you begin? Should I gather every data point I can think of? What tools work the best? There is a lot of talk and hype about analytics. In this session, let's take a look at what goes into mining data and analyzing the insights. We'll discuss different approaches to gathering, storing, and querying data, how to determine the KPIs to focus on, and how to interpret and use information in meaningful ways. While you may not be a statistician, see how some basic statistics can help you to start to wrangle your data.

## Lance Gleason

Lance has been a computer nut ever since his dad bought him a VIC 20 in the 1980s. After nearly a decade as a Java developer for companies like Kodak, CNN, and GE, he decided to end his addiction to heavy inheritance, static typing, and coding without tests. These days, he practices clean Ruby living with lots of well-tested code, class composition, and fun dynamic languages as a developer/startup CTO for hire with extensive experience in data science and committer on open source projects such as the Passbook-iOS, Asari and Active Asari Gems. He is known to practice interspecies pair (purr) programming with his orange tabby, Allie, and when he's not writing code, you will find him diving with sharks, trekking through Chernobyl, sampling wine, cheering on the Springboks or perfecting his biltong recipe.

![Profile picture](https://raw.github.com/lgleasain/rubyconfau-2014-cfp/analytics/talk-analytics_for_the_busy_ruby_developer/profile_picture.jpg)

- [My website](http://www.polyglotprogramminginc.com)
- [My twitter](https://twitter.com/lgleasain)
- [Past talk slides](http://www.polyglotprogramminginc.com/presentationstalks/)
- [Past talk video](http://www.polyglotprogramminginc.com/presentationstalks/)",
44,GitHub Enterprise's toolchain,"Have you ever wonder what it takes to turn your SaaS into an On-Premise project? At GitHub, we've develop a series of tools to help us build, test and release GitHub Enterprise in a matter of minutes.

This talk is about the internal infrastructure that we've built to support GitHub Enterprise. We'll talk about our testing cloud and how we do continuous integration for an on-premise product. We'll also talk about patterns that we've found useful and things that didn't work out that well. We'll show the tooling that makes all this possible and how it integrates with Hubot to allow the Enterprise team to collaborate.
","# GitHub Enterprise's toolchain

Have you ever wonder what it takes to turn your SaaS into an On-Premise project? At GitHub, we've develop a series of tools to help us build, test and release GitHub Enterprise in a matter of minutes.

This talk is about the internal infrastructure that we've built to support GitHub Enterprise. We'll talk about our testing cloud and how we do continuous integration for an on-premise product. We'll also talk about patterns that we've found useful and things that didn't work out that well. We'll show the tooling that makes all this possible and how it integrates with Hubot to allow the Enterprise team to collaborate.

## David Calavera

David works at GitHub in the Enterprise team.

![Profile picture](./profile_picture.jpg)

- [My GitHub account](https://github.com/calavera)
- [My twitter account](https://twitter.com/calavera)
- [Past talk slides](http://speakerdeck.com/calavera)
- [Past talk video at Rubyconf Argentina](vimeo.com/album/2307103/video/62219734)",
45,[talk] Tales Of Interest,"So you want to be an open source contributor? Think you can handle supporting
multiple rubies, tracking down weird bugs, stomaching all that the wider developer
eco system can throw at you? Well good reader, I can tell you stories that will
turn your stomach, and blind your eyes.

Let me take you on a journey deep into the depths of open source triage and
follow the kind of madness that comes from tracking down bugs across differing
versions of Ruby and VMs.

Finally let me entertain you with stories of the perils of dogfooding your
testing framework, and throw in some stories about the kind of hackery you
can commit with a bit of mischievousness.","# Tales Of Interest

So you want to be an open source contributor? Think you can handle supporting
multiple rubies, tracking down weird bugs, stomaching all that the wider developer
eco system can throw at you? Well good reader, I can tell you stories that will
turn your stomach, and blind your eyes.

Let me take you on a journey deep into the depths of open source triage and
follow the kind of madness that comes from tracking down bugs across differing
versions of Ruby and VMs.

Finally let me entertain you with stories of the perils of dogfooding your
testing framework, and throw in some stories about the kind of hackery you
can commit with a bit of mischievousness.

## Jon Rowe

Tinker. Sailor. Developer. Spy? Originally from a tiny cold island nation,
Britain, Jon now lives in Sydney where he spends time sailing the high seas,
plotting and working as a gun for hire, I mean freelance Ruby developer.

When not working on client work you can find Jon hacking on RSpec (as a core
contributor), helping other open source projects and working on his own little
side project(s).

![Profile picture](./profile_picture.jpg)

- [jonrowe.co.uk](http://jonrowe.co.uk)
- [@jonrowe](https://twitter.com/JonRowe)
- [Past talk slides](https://speakerdeck.com/jonrowe)
- [Past talk video: RoRoSyd Talk (Abusing the Router)](http://vimeo.com/62675282)
- [Past talk video: RubyConfAU '13 Lightning Talk (Black / White)](http://vimeo.com/61342270)",
46,Talk Proposal: The Ethical Programmer,"Programmers have great power to shape our world. Other professions have ethics boards and revocable professional licenses to bring responsibility to that power. We do not. Therefore, we must educate ourselves in ethical thinking.
This talk covers methods in ethics both historical and modern. It then applies those methods to some recent problems. Possible thorny issues include:
 * triage and bug fixing
 * visualization of data: Customer Satisfaction reports
 * features with negative externalities: LinkedIn Intro
 * prioritization: the best minds of our generation optimizing ad-revenue","# The Ethical Programmer

Programmers have great power to shape our world. Other professions have ethics
boards and revocable professional licenses to bring responsibility to that
power. We do not. Therefore, we must educate ourselves in ethical thinking.

This talk covers methods in ethics both historical and modern. It then applies
those methods to some recent problems. Possible thorny issues include:

 * triage and bug fixing
 * visualization of data: Customer Satisfaction reports
 * features with negative externalities: LinkedIn Intro
 * prioritization: the best minds of our generation optimizing ad-revenue

## James A. Rosen

James A. Rosen is a Senior User Happiness Engineer at Zendesk, where he writes
Ruby and JavaScript, with a focus on front-end quality and performance
engineering. He holds a degree in Information Security from Carnegie Mellon,
as well as degrees in Music and Italian Culinary Arts. He prefers his spaghetti
all'arrabbiata and his code non-spaghetti-like.

![Profile picture](./profile_picture.png)

- [My twitter](https://twitter.com/jamesarosen)
- [Past talk slides](http://github.com/jamesarosen/presentations)
- [Past talk video](http://lanyrd.com/2013/melbjs-june/scgfrd/#link-rwkk)",
48,standing on the shoulders of giants with @zzak,"We take for granted the wealth of knowledge and wisdom that goes into each library we use within our programs. Many of the them we use today are built on top of libraries that have existed much longer than most of us have been programming in Ruby.
Allow me to guide you through some of these unusual and mysterious libraries that are made available in every Ruby installation. I'm talking about the standard library, which has largely been apart of the Ruby ecosystem since before gems were available.
There's around ~70MB of code in every installation, and it's just waiting for those eager to explore and discover what the pioneers of Ruby have provided for us.","# standing on the shoulders of giants

We take for granted the wealth of knowledge and wisdom that goes into each library we use within our programs. Many of the them we use today are built on top of libraries that have existed much longer than most of us have been programming in Ruby.

Allow me to guide you through some of these unusual and mysterious libraries that are made available in every Ruby installation. I'm talking about the standard library, which has largely been apart of the Ruby ecosystem since before gems were available.

There's around ~70MB of code in every installation, and it's just waiting for those eager to explore and discover what the pioneers of Ruby have provided for us.

## Zachary Scott

Zachary Scott has been a Ruby committer since Fall of 2012 and will share his experiences with the standard library of CRuby.

![Profile picture](https://raw.github.com/zzak/rubyconfau-2014-cfp/master/talk-zachary_scott-standing_on_the_shoulders_of_giants/profile_picture.jpg)

- [github](http://github.com/zzak)
- [twitter](https://twitter.com/_zzak)
- [Past talk slides](https://speakerdeck.com/zzak)
- [Past talk video](http://www.youtube.com/user/Confreaks/search?query=zachary+scott)",
